state,Date,Total Confirmed cases,,,
Tripura,07-04-2020,1,,,
Uttar Pradesh,07-04-2020,305,,,
Uttarakhand,07-04-2020,31,,,
West Bengal,07-04-2020,91,,,
Andaman and Nicobar Islands,08-04-2020,10,,,
Andhra Pradesh,08-04-2020,305,,,
Arunachal Pradesh,08-04-2020,1,,,
Assam,08-04-2020,27,,,
Bihar,08-04-2020,38,,,
Chandigarh,08-04-2020,18,,,
Chhattisgarh,08-04-2020,10,,,
Delhi,08-04-2020,576,,,
Goa,08-04-2020,7,,,
Gujarat,08-04-2020,165,,,
Haryana,08-04-2020,147,,,
Himachal Pradesh,08-04-2020,18,,,
Jammu and Kashmir,08-04-2020,116,,,
Jharkhand,08-04-2020,4,,,
Karnataka,08-04-2020,175,,,
Kerala,08-04-2020,336,,,
Ladakh,08-04-2020,14,,,
Madhya Pradesh,08-04-2020,229,,,
Maharashtra,08-04-2020,1018,,,
Manipur,08-04-2020,2,,,
Mizoram,08-04-2020,1,,,
Odisha,08-04-2020,42,,,
Puducherry,08-04-2020,5,,,
Punjab,08-04-2020,91,,,
Rajasthan,08-04-2020,328,,,
Tamil Nadu,08-04-2020,690,,,
Telengana,08-04-2020,364,,,
Tripura,08-04-2020,1,,,
Uttar Pradesh,08-04-2020,326,,,
Uttarakhand,08-04-2020,31,,,
West Bengal,08-04-2020,99,,,
Andaman and Nicobar Islands,09-04-2020,11,,,
Andhra Pradesh,09-04-2020,348,,,
Arunachal Pradesh,09-04-2020,1,,,
Assam,09-04-2020,28,,,
Bihar,09-04-2020,38,,,
Chandigarh,09-04-2020,18,,,
Chhattisgarh,09-04-2020,10,,,
Delhi,09-04-2020,669,,,
Goa,09-04-2020,7,,,
Gujarat,09-04-2020,179,,,
Haryana,09-04-2020,147,,,
Himachal Pradesh,09-04-2020,18,,,
Jammu and Kashmir,09-04-2020,158,,,
Jharkhand,09-04-2020,4,,,
Karnataka,09-04-2020,181,,,
Kerala,09-04-2020,345,,,
Ladakh,09-04-2020,14,,,
Madhya Pradesh,09-04-2020,229,,,
Maharashtra,09-04-2020,1135,,,
Manipur,09-04-2020,1,,,
Mizoram,09-04-2020,1,,,
Odisha,09-04-2020,42,,,
Puducherry,09-04-2020,5,,,
Punjab,09-04-2020,101,,,
Rajasthan,09-04-2020,381,,,
Tamil Nadu,09-04-2020,738,,,
Telengana,09-04-2020,427,,,
Tripura,09-04-2020,1,,,
Uttar Pradesh,09-04-2020,361,,,
Uttarakhand,09-04-2020,33,,,
West Bengal,09-04-2020,103,,,
Andaman and Nicobar Islands,10-04-2020,11,,,
Andhra Pradesh,10-04-2020,348,,,
Arunachal Pradesh,10-04-2020,1,,,
Assam,10-04-2020,29,,,
Bihar,10-04-2020,39,,,
Chandigarh,10-04-2020,18,,,
Chhattisgarh,10-04-2020,10,,,
Delhi,10-04-2020,720,,,
Goa,10-04-2020,7,,,
Gujarat,10-04-2020,241,,,
Haryana,10-04-2020,169,,,
Himachal Pradesh,10-04-2020,18,,,
Jammu and Kashmir,10-04-2020,158,,,
Jharkhand,10-04-2020,13,,,
Karnataka,10-04-2020,181,,,
Kerala,10-04-2020,357,,,
Ladakh,10-04-2020,15,,,
Madhya Pradesh,10-04-2020,259,,,
Maharashtra,10-04-2020,1364,,,
Manipur,10-04-2020,2,,,
Mizoram,10-04-2020,1,,,
Odisha,10-04-2020,44,,,
Puducherry,10-04-2020,5,,,
Punjab,10-04-2020,101,,,
Rajasthan,10-04-2020,463,,,
Tamil Nadu,10-04-2020,834,,,
Telengana,10-04-2020,442,,,
Tripura,10-04-2020,1,,,
Uttar Pradesh,10-04-2020,410,,,
Uttarakhand,10-04-2020,35,,,
West Bengal,10-04-2020,116,,,
Andaman and Nicobar Islands,11-04-2020,11,,,
Andhra Pradesh,11-04-2020,363,,,
Arunachal Pradesh,11-04-2020,1,,,
Assam,11-04-2020,29,,,
Bihar,11-04-2020,60,,,
Chandigarh,11-04-2020,18,,,
Chhattisgarh,11-04-2020,18,,,
Delhi,11-04-2020,903,,,
Goa,11-04-2020,7,,,
Gujarat,11-04-2020,308,,,
Haryana,11-04-2020,177,,,
Himachal Pradesh,11-04-2020,28,,,
Jammu and Kashmir,11-04-2020,207,,,
Jharkhand,11-04-2020,14,,,
Karnataka,11-04-2020,207,,,
Kerala,11-04-2020,364,,,
Ladakh,11-04-2020,15,,,
Madhya Pradesh,11-04-2020,435,,,
Maharashtra,11-04-2020,1574,,,
Manipur,11-04-2020,2,,,
Mizoram,11-04-2020,1,,,
Odisha,11-04-2020,48,,,
Puducherry,11-04-2020,5,,,
Punjab,11-04-2020,132,,,
Rajasthan,11-04-2020,553,,,
Tamil Nadu,11-04-2020,911,,,
Telengana,11-04-2020,473,,,
Tripura,11-04-2020,1,,,
Uttar Pradesh,11-04-2020,431,,,
Uttarakhand,11-04-2020,35,,,
West Bengal,11-04-2020,116,,11-04-2020,127
